ZIP_Code,Total_Population,Kids,Adults,Vulnerable,Median_Age
91901,18669,3291,10823,4555,42
91902,17121,2384,9517,5220,46.5
91905,1411,89,842,480,52.5
91906,4281,1140,2197,944,33.8
91910,76313,12742,46607,16964,38.4
91911,87799,17452,53738,16609,35.4
91913,56102,12886,35078,8138,34.7
91914,17373,3352,11125,2896,37.5
91915,35608,9006,22762,3840,34.2
91916,1833,304,843,686,54.8
91917,851,268,485,98,36
91931,749,241,277,231,40.2
91932,26157,5005,16890,4262,33.7
91934,1251,85,513,653,60.4
91935,9320,1583,4336,3401,52.2
91941,33602,5524,19304,8774,40.8
91942,40995,7272,25172,8551,36.4
91945,27541,4768,16824,5949,37.4
91948,104,0,62,42,27.4
91950,57844,10882,34940,12022,35.6
91962,2528,416,1131,981,49.4
91963,624,134,355,135,40.5
91977,65497,13440,40294,11763,35
91978,11006,2162,6689,2155,36.7
91980,103,0,89,14,45
92003,4404,571,2517,1316,49.1
92004,3200,275,1299,1626,60.3
92007,11939,2650,6489,2800,40.2
92008,27373,3615,16451,7307,42.9
92009,46334,9438,26890,10006,41.8
92010,16566,2894,9891,3781,41
92011,24472,4550,13304,6618,43.4
92014,12532,1608,5959,4965,52.9
92019,45937,8557,25224,12156,39.3
92020,59775,11931,35546,12298,36.4
92021,69638,14590,40329,14719,35.5
92024,50222,7995,28412,13815,43.7
92025,50270,9941,30673,9656,36.4
92026,53053,9628,30797,12628,37.7
92027,55750,10893,35067,9790,35.4
92028,51135,10517,27307,13311,38.3
92029,19986,3274,10851,5861,44.1
92036,3075,262,1483,1330,57.2
92037,37665,4974,20423,12268,46.3
92040,45906,8340,26342,11224,39.2
92054,37050,5842,23512,7696,37.5
92055,10618,0,10618,0,21.2
92056,54190,10044,30411,13735,38.1
92057,58022,10684,34849,12489,37.7
92058,48272,11376,31979,4917,24.9
92059,1456,417,794,245,35.2
92060,506,0,100,406,66.4
92061,1677,137,825,715,55.6
92064,48783,9289,26664,12830,41.7
92065,36836,6720,21959,8157,40.3
92066,319,28,159,132,55.5
92067,9186,2021,4322,2843,48.2
92069,46648,9516,28881,8251,35.7
92070,761,95,441,225,44.7
92071,59795,11536,34857,13402,39
92075,12072,2033,6643,3396,47.6
92078,53019,11628,30156,11235,37.7
92081,29475,5262,18496,5717,38
92082,20678,4023,11034,5621,42
92083,37864,7519,24288,6057,34.1
92084,49971,9911,31117,8943,35.5
92086,1409,143,582,684,59.1
92091,1288,203,359,726,61.9
92093,2044,0,2044,0,19.3
92096,0,0,0,0,
92101,46025,1822,34797,9406,36.8
92102,40051,7307,26761,5983,33.9
92103,34296,2601,22526,9169,42.1
92104,46613,5784,34306,6523,34.6
92105,72688,13929,47812,10947,33.6
92106,20483,3323,12136,5024,38.5
92107,29435,3606,20237,5592,36.5
92108,24201,2484,18566,3151,33.4
92109,44009,3828,33744,6437,33.5
92110,30773,3941,20950,5882,34.2
92111,47710,6744,31037,9929,36.8
92113,50983,11689,32380,6914,31.3
92114,66487,11781,39706,15000,38.2
92115,61456,9082,44604,7770,29.3
92116,31836,3074,23634,5128,35.6
92117,54499,7712,34927,11860,37.9
92118,17602,2634,9986,4982,42.1
92119,24419,4285,13620,6514,42.6
92120,30241,5202,18092,6947,37.7
92121,4150,590,2977,583,32.3
92122,45988,5019,33108,7861,31
92123,32951,5106,22013,5832,35.5
92124,31121,7814,17763,5544,32.7
92126,78111,13672,49176,15263,35.8
92127,51107,12466,30344,8297,37.3
92128,49273,8006,27004,14263,43.8
92129,52495,10092,32051,10352,40.8
92130,57363,12328,35736,9299,39.5
92131,35227,7382,19787,8058,42.4
92132,0,0,0,0,
92134,241,0,241,0,21.9
92135,1095,0,1095,0,21
92136,9630,0,9630,0,24.2
92139,34930,6569,21693,6668,35.8
92140,2807,0,2807,0,19.9
92145,2810,0,2810,0,21.7
92147,180,0,180,0,21.3
92154,83758,14890,53217,15651,35.8
92155,196,0,196,0,22.2
92161,12,0,12,0,
92173,28609,6028,17006,5575,34.2
92182,0,0,0,0,